TIPO;DESCRIPCIÓN DE REGULACIÓN;ENLACE A REGULACIÓN
Instructivos;Reforma del Instructivo UTHM-INS-V1-2023-007, que regula los procedimientos para el ingreso del personal académico y de apoyo académico titular mediante concurso público de mérito y oposición de la Universidad de las Fuerzas Armadas – ESPE.;https://hcu.espe.edu.ec/wp-content/uploads/2023/10/RESOLUCION-2023-113.pdf
Instructivos;Instructivo Nro. UTHM-INS-V2-2023-013 para el proceso de promoción y estímulos del personal académico titular de la Universidad de las Fuerzas Armadas—ESPE;https://usgn.espe.edu.ec/wp-content/uploads/2023/05/RESOLUCION-2023-027.pdf
Instructivos;Instructivo para el uso de la Ficha de Información Ciudadana y Ficha Simplificada en la Universidad de las Fuerzas Armadas – ESPE;https://usgn.espe.edu.ec/wp-content/uploads/2022/04/INSTRUCTIVO-PARA-EL-USO-DE-LA-FICHA.pdf
Instructivos;Instructivo Nro. HCU-INS-V1-2021-001 para la Ejecución del  proceso Electoral para elegir Representantes al Honorable Consejo Universitario,  Período 2022-2024,  de la Universidad de las Fuerzas  Armadas – ESPE;https://usgn.espe.edu.ec/wp-content/uploads/2021/12/INSTRUCTIVO-EJECUCION-PROCESO-ELECTORAL-2022-2024-1.pdf
Instructivos;Convocatoria a Elecciones para elegir representantes al Honorable Consejo Universitario período 2022-2024  de la Universidad de las Fuerzas Armadas – ESPE;https://usgn.espe.edu.ec/wp-content/uploads/2021/12/RESOLUCION-2021-103.pdf
Instructivos;Reforma al Instructivo Nro. HCU-INS-V2-2021-001  para la ejecución del proceso electoral para elegir representante del Honorable Consejo Universitario de la Universidad de las  Fuerzas  Armadas – ESPE.;https://usgn.espe.edu.ec/wp-content/uploads/2021/12/REFORMA-A-INSTRUCTIVO-DE-EJECUCION-PROCESO-ELECTORAL.pdf
Instructivos;Reforma al Instructivo Nro. HCU-INS-V3-2021-001  para la ejecución del proceso electoral para elegir representante del Honorable Consejo Universitario de la Universidad de las  Fuerzas  Armadas – ESPE.;https://usgn.espe.edu.ec/wp-content/uploads/2022/01/reforma_nro._hcu-ins-v3-2021-001.pdf
Instructivos;Instructivo UFIN-FRM-V1-2021-017 para regular el proceso de cobro  y/o devolución de inscripción,  matrículas y aranceles a los estudiantes de los programas de cuarto nivel,  de la Universidad de las Fuerzas Armadas – ESPE.;https://usgn.espe.edu.ec/wp-content/uploads/2021/12/RESOLUCION-2021-095.pdf
Instructivos;Instructivo para la implementación del proceso  para la ejecución de la Unidad de Titulación de las Carreras de Tercer Nivel  de la  Universidad de las Fuerzas  Armadas-ESPE, durante la emergencia sanitaria.;https://usgn.espe.edu.ec/wp-content/uploads/2020/07/RESOLUCION-2020-067.pdf
Instructivos;Instructivo No CPOS-INS-V2-2020-027, para la implementación  del Plan de contingencia para el desarrollo y evaluación de las asignaturas en  modalidad virtual  del Centro de Posgrado de la  Universidad de las Fuerzas  Armadas – ESPE.;https://usgn.espe.edu.ec/wp-content/uploads/2020/11/RESOLUCION-2020-087.pdf
Instructivos;Instructivo No CPOS-INS-V1-2020-028, para la implementación del Plan de contingencia de la Unidad de Titulación del Centro de Posgrado de la  Universidad de las Fuerzas  Armadas – ESPE.;https://usgn.espe.edu.ec/wp-content/uploads/2020/08/RESOLUCION-2020-073.pdf
Instructivos;Instructivo para  la Implementación del Plan de Contingencia para el  desarrollo académico de los contenidos de las asignaturas de grado y tecnología, en la modalidad presencial, empleando herramientas  utilizadas en Educación Modalidad Virtual de la  Universidad de las Fuerzas  Armadas-ESPE.;https://usgn.espe.edu.ec/wp-content/uploads/2020/06/INSTRUCTIVO-UDED-INSV1-2020-002.pdf
Instructivos;Instructivo que regula el mecanismo de entrega de expedientes de becarios al proceso de validación de solicitudes de beca, de la Universidad de las Fuerzas Armadas-ESPE, para estudios de posgrado.;https://usgn.espe.edu.ec/wp-content/uploads/2020/03/O.R.2020-051.pdf
Instructivos;Instructivo  para el servicio de impresión digital / offset y terminados gráficos de la editorial de la   Universidad de las Fuerzas Armadas-ESPE;https://usgn.espe.edu.ec/wp-content/uploads/2020/01/2019-281-ESPE-a-1.pdf
Instructivos;Instructivo  de desembolsos y liquidación financiera de las Becas para estudios de posgrado, otorgadas por la  Universidad de las Fuerzas  Armadas-ESPE;https://usgn.espe.edu.ec/wp-content/uploads/2020/01/OR-2019-249.pdf
Instructivos;Instructivo para el proceso de Promoción, Categorización y Revalorización de remuneración del personal académico de la Universidad de las Fuerzas  Armadas – ESPE;https://usgn.espe.edu.ec/wp-content/uploads/2019/08/2019-162-ESPE-a-1.pdf
Instructivos;Reforma al Instructivo VAG-INS-V1-2020-002, para el proceso de Promoción, Categorización y Revalorización de remuneración del personal académico de la Universidad de las Fuerzas  Armadas – ESPE.;https://usgn.espe.edu.ec/wp-content/uploads/2020/08/RESOLUCION-2020-068.pdf
Instructivos;Instructivo para el Control de Asistencia de los Docentes e Investigadores del Campus Matriz, Sedes, Extensiones y Unidades Académicas Especiales de la Universidad de las Fuerzas Armadas - ESPE;https://usgn.espe.edu.ec/wp-content/uploads/2019/08/ESPE-HCU-OR-2019-057.pdf
Instructivos;Instructivo que regula la utilización de la firma electrónica en la Universidad de las Fuerzas Armadas - ESPE, Codificado;https://usgn.espe.edu.ec/wp-content/uploads/2020/07/RESOLUCION-2020-060.pdf
Instructivos;Reforma al  Instructivo que regula la utilización de la firma electrónica en la Universidad de las Fuerzas Armadas – ESPE, Codificado.;https://usgn.espe.edu.ec/wp-content/uploads/2020/11/RESOLUCION-2020-086.pdf
Instructivos;Instructivo de evaluación de méritos para el proceso de modificación de régimen de dedicación del personal académico de tiempo parcial y medio tiempo a tiempo completo de la Universidad de las Fuerzas Armadas-ESPE;https://usgn.espe.edu.ec/wp-content/uploads/2019/06/ESPE-HCU-OR-2018-077.pdf
Instructivos;Reforma parcial al Instructivo de evaluación de méritos para el proceso  de modificación de régimen de dedicación del personal académico de tiempo parcial y medio tiempo a tiempo completo de la Universidad de las Fuerzas Armadas-ESPE;https://usgn.espe.edu.ec/wp-content/uploads/2019/06/ESPE-HCU-RES-2018-123.pdf
Instructivos;Instructivo No. 01-2017 para regular el cobro a estudiantes por concepto de programa de posgrado, y el pago a coordinadores y docentes que cumplan activdades de docencia y gestión de posgrados en la Universdad de las Fuerzas Armadas- ESPE;https://usgn.espe.edu.ec/wp-content/uploads/2019/06/ESPE-HCU-RES-2017-027.pdf
Instructivos;Instructivo Nr. 003 para conocimiento u homologación de estudios que garantice la movilidad, en la Universidad de las Fuerzas Armadas – ESPE, a estudiantes de los niveles de formación Tecnológico Superior y Tercer Nivel.;https://usgn.espe.edu.ec/wp-content/uploads/2019/06/2016-340-ESPE-d.pdf
Instructivos;Instructivo No. 2 para el proceso de la Recategorización del Personal Académico Titular de la Universidad de las Fuerzas Armadas - ESPE;https://usgn.espe.edu.ec/wp-content/uploads/2019/06/2016-262-ESPE-d.pdf
Instructivos;Instructivo y tabla de retención documental;https://usgn.espe.edu.ec/wp-content/uploads/2019/06/2015-159-ESPE-a-3.pdf
Instructivos;Instructivo para el Manejo de Fondo Fijo de Caja Chica para la Escuela Politécnica del Ejército;https://usgn.espe.edu.ec/wp-content/uploads/2019/06/2012-117-ESPE-a-3.pdf
Instructivos;Instructivo para Regular los Procedimientos Financieros de Recepción, Registro y Control de Ingresos Propios de la Escuela Politécnica del Ejército;https://usgn.espe.edu.ec/wp-content/uploads/2019/06/2012-115-ESPE-a-3.pdf
Valores;Aprobar costo por emisión de documentos emitidos por el Centro de Educación Continua  de la Universidad de las Fuerzas Armadas-ESPE.;https://usgn.espe.edu.ec/wp-content/uploads/2023/05/ESPE-HCU-RES-2022-090.pdf
Valores;"Valores de matrícula y aranceles por pérdida de gratuidad de manera parcial y temporal definitiva; y, total, en las carreras de Tecnología en Gestión de Sistemas Integrados de Información y Tecnología en Gestión de Marketing y Publicidad, modalidad presencial  de la Universidad de la Fuerzas Armadas-ESPE.";https://usgn.espe.edu.ec/wp-content/uploads/2019/06/ESPE-HCU-OR-2019-050.pdf
Valores;"Valores de matrícula y aranceles por pérdida de gratuidad de manera parcial y temporal definitiva; y, total, en las carreras de  ajuste curricular de la modalidad presencial en las carreras de la  modalidad en linea  Universidad de la Fuerzas Armadas-ESPE.";https://usgn.espe.edu.ec/wp-content/uploads/2019/06/ESPE-HCU-OR-2019-047.pdf
Valores;Valores a ser cobrados  por servicios, rubros y/o costos no contemplados por la gratuidad en las carreras de Ingeniería, Licenciatura, Tecnología y en los programas de cuarto nivel de la Universidad de la Fuerzas Armadas-ESPE.;https://usgn.espe.edu.ec/wp-content/uploads/2019/06/ESPE-HCU-OR-2019-012.pdf
Valores;"Valores de matrícula y aranceles por pérdida de gratuidad de manera parcial y temporal definitiva; y, total, en las carreras por modalidad de estudio de mallas curriculares de régimen por créditos y de régimen por horas de la Universidad de la Fuerzas Armadas-ESPE.";https://usgn.espe.edu.ec/wp-content/uploads/2020/02/ESPE-HCU-2018-099.pdf
Valores;"Valores de matrícula y aranceles por pérdida de gratuidad de manera parcial y temporal definitiva; y, total, en las carreras de ajuste curricular de la modalidad presencial, en las carreras de modalidad dual y de la modalidad en línea de la Universidad de la Fuerzas Armadas-ESPE.";https://usgn.espe.edu.ec/wp-content/uploads/2021/02/RESOLUCION-2021-005-1.pdf
Plan Estratégico;Plan Estratégico de Desarrollo Institucional PEDI 2025-2029;https://usgn.espe.edu.ec/wp-content/plugins/pdfjs-viewer-shortcode/pdfjs/web/viewer.php?file=https://usgn.espe.edu.ec/wp-content/uploads/2026/01/RESOLUCION-ESPE-HCU-RES-2025-148.pdf&attachment_id=0&dButton=true&pButton=true&oButton=false&sButton=true&editButtons=true&pagemode=none&_wpnonce=43ec6b1f38
Políticas;Políticas de Atención al tema Integrado de Salud de la Universidad de las Fuerzas Armadas- ESPE y    Tarifas de Servicios.;https://usgn.espe.edu.ec/wp-content/plugins/pdfjs-viewer-shortcode/pdfjs/web/viewer.php?file=https://usgn.espe.edu.ec/wp-content/uploads/2019/06/Politicas-SIS-HCU-RES-2017-026.pdf&attachment_id=0&dButton=true&pButton=true&oButton=false&sButton=true&pagemode=none&_wpnonce=070f2fdda6
Políticas;Política Específica de Protección de Datos Personales de la Universidad de las Fuerzas Armadas – ESPE;https://usgn.espe.edu.ec/wp-content/uploads/2025/09/Politica-Proteccion-Datos-2025.pdf
Tabla de Plazos;Tabla de Plazos de Conservación Documental y Archivos Magnéticos;https://usgn.espe.edu.ec/wp-content/uploads/2019/06/Tabla-Plazos-2014-238-ESPE-a-3.pdf%20&attachment_id=0&dButton=true&pButton=true&oButton=false&sButton=true&editButtons=true&pagemode=none&_wpnonce=22b86dadb5
Comité;Comité de Tecnologías de la Información y Comunicaciones de la Universidad de las Fuerzas Armadas ESPE;https://usgn.espe.edu.ec/wp-content/uploads/2019/06/ESPE-HCU-RES-2017-017.pdf&attachment_id=0&dButton=true&pButton=true&oButton=false&sButton=true&editButtons=true&pagemode=none&_wpnonce=22b86dadb5
Certificado de Acreditación;Certificado de Acreditación CEAACES Acreditando a la Universidad de las Fuerzas Armadas – Espe en la Categoría A;https://usgn.espe.edu.ec/wp-content/plugins/pdfjs-viewer-shortcode/pdfjs/web/viewer.php?file=https://usgn.espe.edu.ec/wp-content/uploads/2019/06/RESOLUCION-CEAACES.pdf&attachment_id=0&dButton=true&pButton=true&oButton=false&sButton=true&pagemode=none&_wpnonce=070f2fdda6
